job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Data Scientist,DAITA Inc.,"Toronto, ON","$70,000 - $85,000 a year","Updating models to comply with changes in  inputs.,Collaborating with internal and external functional teams to implement models,  visualization systems…",Today,Indeed.ca,https://ca.indeed.com/company/DAITA-Inc./jobs/Data-Scientist-d7792b6d2658fd36?fccid=2fa029bbfe0bea29&vjs=3
"Specialist, Data Science and Machine Learning Development",Gartner,"Quebec City, QC",,"Knowledge of core computer  concepts such as  structures and algorithms, OOP, code profiling/optimization.",20 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6380e96c4bffaf61&fccid=be293f1def77a963&vjs=3
Data Scientist / Machine Learning Engineer,Leadbright Inc.,"Toronto, ON","$45,000 - $90,000 a year","Experience in full stack   is preferred.,Create and visualize  using our charting technologies.,Job Types: Full-time, Permanent.",1 day ago,Indeed.ca,https://ca.indeed.com/company/Leadbright-Inc./jobs/Data-Scientist-369a0e3f66dee932?fccid=cb42852268ee7ab9&vjs=3
Data Science Co-op,Hach,"Vancouver, BC",,"Keen to learn about   and technology.,Currently studying  , computer science/engineering, statistics, or a related discipline.",7 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=bdf5d95be72e8a65&fccid=7211d6a9510d11db&vjs=3
"Python, AI, Machine Learning with mathematical background",Nidish LLC,"Vancouver, BC",$60 an hour,"Python, AI, Machine Learning with mathematical background - (4-5 years).,Job Types: Full-time, Permanent, Temporary.,Yes, temporarily due to COVID-19.",Today,Indeed.ca,https://ca.indeed.com/company/Nidish-LLC/jobs/Python-3572264e31eb1843?fccid=3be2176cb33c6609&vjs=3
Data Science,Cyber Chasse,Canada,,"Experience working with and creating  architectures.,Experience using statistical computer languages R, Python, SLQ, etc to manipulate  and draw…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5a59f2189f7d47ae&fccid=fb556c90cb9bdb1a&vjs=3
Data Scientist,GSL Group,"Vancouver, BC",,"Strong experience using a variety of  mining/data analysis methods.,Assess the effectiveness and accuracy of new  sources and  gathering techniques.",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=2c8e8a6b3d3451d4&fccid=56eaccfdcfa78d2f&vjs=3
Data Scientist,Fantuan Technology Ltd,"Burnaby, BC",,"Data analysis: 2 years (Required).,Have 2+ years of working experience in a  analysis or similar role.,Interpret, evaluate, and interrelate research data…",1 day ago,Indeed.ca,https://ca.indeed.com/company/Just-Order-Enterprise-Corp./jobs/Data-Scientist-3e739a6aa84f5505?fccid=d8ddff9f4870d4dd&vjs=3
Data Scientist,Pelmorex Corp,"Oakville, ON",,You will work closely with  scientists and big  engineers to create innovative solutions for advertising clients and apply machine learning to optimize…,Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=e609880838aa9286&fccid=b2d4328e43e833e5&vjs=3
Data Scientist (F/M/X),Acensi SAS,"Bruxelles, MB",,"Assist users to understand the   principles.,The  Scientist will perform hands on   and  analysis work in the domain of Insurance.",7 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c118d2f7459bfd0c&fccid=baab62ae6ea4c8a2&vjs=3
Data Scientist,High Tech Genesis,"Kanata, ON",,"Strong computer  fundamentals such as algorithms,  structures;,Familiarity with Jupiter, Pyspark, and other   tools;",Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=fb90e7ea59ca0f83&fccid=af0f5dd582c553f5&vjs=3
Data Science Associate - Montreal,Air Liquide,"Montréal, QC",,"Clean, and analyze the data.,Work with IT and external organizations to obtain online/offline data.,In 2018 we celebrated 10 years of accident-free operations.",12 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=46edf1f299d50849&fccid=0bfc42f123844c30&vjs=3
Junior Data Scientist/Data Engineer,Acerta Analytics Solutions Inc,"Kitchener, ON","$60,000 - $80,000 a year","Assist with  feasibility and similar  quality assessment requests from the sales team.,As an integral part of the   team at Acerta, you will…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ee5fca248111d8a8&fccid=60243b7c439e1cdd&vjs=3
Data Analyst,SickKids,"Toronto, ON",,"Working with raw  and extracting  for research and machine learning purposes.,Advise on how to deal with missing data.",Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3c6941108ba1a044&fccid=9645047fb7b1d4e3&vjs=3
Data Scientist,Daesys,"Toronto, ON","$75,000 - $80,000 a year","Master’s or PhD degree in computer  with AI/data  profile is preferred.,Python programming (working with   related packages: scikit…",1 day ago,Indeed.ca,https://ca.indeed.com/company/Daesys/jobs/Data-Scientist-ae3d103d60d31977?fccid=48b7e5beb2af653d&vjs=3
Data Scientist,EXFO,"Montréal, QC",,"Experience in applying   methods to business problems.,Academic: Graduate studies in machine learning, computer , statistics, mathematics,…",14 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c5ea013ea16975bd&fccid=aed940ca07a7584d&vjs=3
Junior Data Scientist,Visual Defence Inc,"Richmond Hill, ON","$45,000 - $55,000 a year","Programming and support in writing ready   scripts / applications.,1-2 years of experience in  , analysis and visualization.",9 days ago,Indeed.ca,https://ca.indeed.com/company/Visual-Defence-Inc./jobs/Junior-Data-Scientist-6c3f2dc463a7a6e6?fccid=2540fa8edcb88f6a&vjs=3
SENIOR DATA ANALYST,City of Toronto,"Toronto, ON",$45.92 an hour,"Compiles data/statistical reports based on  analysis.,Provides technical expertise in using  analysis techniques to City divisions to support of data…",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=13d7af513a1966a1&fccid=f2087b51205d4920&vjs=3
"Data Scientist, Summer 2021 Student Opportunities (8 Months Only)",RBC,Ontario,,"Ability to  extract, transform, and load processes with a variety of  types.,Ability to perform complex  analysis on large volumes of  and…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=72e2a703ef6567a3&fccid=537b899e30af3338&vjs=3
DATA SCIENTIST,Integra  & Analytic Solutions,"Calgary, AB",,"Strong understanding of  structure,  modelling, and  transformation.,Strong Coding skills in Python or other  mining tools.",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9154462553a55e7d&fccid=a3e030529fe842ea&vjs=3
Data Analyst,Geotab,"Oakville, ON",,"Identify any  quality issues and partialities in  acquisition.,3-5 years experience with   tools (e.g Python, Pandas, NumPy).",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=8c86846f9dbce998&fccid=31921a4bf53a6026&vjs=3
Data Science Manager with Containerization - Toronto,Capgemini,"Toronto, ON",,Work in a collaborative environment with global teams to drive client engagements in a broad range of industries to design and build scalable AI and Machine…,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=bf2a6c2f4a5dec44&fccid=105ecfd0283f415f&vjs=3
Specialist- Azure Data & AI,Microsoft,"Mississauga, ON",,Providing insight and feedback from customers and partners to the Microsoft Worldwide Industry Teams to help learning and improvement in industry solutions and…,Today,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ff746c89376063bb&fccid=734cb5a01ee60f80&vjs=3
Health Data Analyst – ACW,Sioux Lookout First Nations Health Authority,"Sioux Lookout, ON","$78,256 a year","Experience with common   and  visualization tools.,Collect and analyze data—through extracting secondary , observations, interviews, and…",14 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1b7f0d64d0354ef2&fccid=545a4a9f500fa727&vjs=3
Statistician,Lady Davis Institute,"Montréal, QC",$30 - $40 an hour,"Design, develop and implement statistical study procedures, ensuring  quality and confidentiality.,Interpretation of the results;",11 days ago,Indeed.ca,https://ca.indeed.com/company/Lady-Davis-Institute/jobs/Statistician-a8753ffb92455331?fccid=1e1a6d42beac434e&vjs=3
Data Scientist,SkipTheDishes,"Winnipeg, MB",,"Applied experience with machine learning,  , and solving problems at scale.,Confident in extracting and manipulating  from our various SQL and…",6 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5005503167bf5934&fccid=3a2c8b6a483f049b&vjs=3
Data Scientist,Stradigi AI,"Montréal, QC",,"Develop custom  models and algorithms to apply to  sets.,Assess the effectiveness and accuracy of new  sources and  gathering techniques.",6 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=91200588a8169604&fccid=44d22360b9426d3e&vjs=3
Data Scientist,Loopio,"Toronto, ON",,"Knowledge of  structures and algorithms.,Working with engineers to collect, clean, and perform feature engineering and selection on customer  to support…",15 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=60ca003c0b7142c8&fccid=84a3fb2dd32764f4&vjs=3
Junior Data Scientist,DMG BLOCKCHAIN SOLUTIONS,"Vancouver, BC","$48,000 - $60,000 a year","Work with existing  manipulation tools to populate our database.,Work with our development team to automate the flow of data.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=7aca0a2e4c7a02a1&fccid=522d0367f4bed541&vjs=3
Data Analyst – Business Intelligence & Analytics,Laserbody M.D.,"Brampton, ON",,"Assist Sales Team members to analyze campaigns performance, identify internal & external trends from , troubleshoot issues, identify new supply…",7 days ago,Indeed.ca,https://ca.indeed.com/company/Life-Clinic/jobs/Data-Analyst-Business-Intelligence-Analytic-73d194581609da39?fccid=c65e0a3cefd240a4&vjs=3
Data Scientist,Kabam,"Vancouver, BC",,"2+ years of industry experience translating  into actionable company insights.,Build Machine Learning Algorithms for  products to be implemented in-game…",7 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f6d128507d45e87a&fccid=fde47f06a6b44d5e&vjs=3
Data Scientist,Brain Finance,"Montréal, QC",,"Developing  analysis and  solutions with Python.,Utilizing Apache Spark, Apache Kafka, and Apache Cassandra to develop scalable real-time and data…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=fd887acbc144a8e7&fccid=6f679e2241486aec&vjs=3
AI/GIS map developer,CropRecords.com,"Saskatoon, SK","$65,000 - $120,000 a year",Experience with C# and/or Python would be ideal but we will definitely consider developers from any background or experience level.,6 days ago,Indeed.ca,https://ca.indeed.com/company/CropRecords/jobs/Ai-GIS-Map-Developer-244c47285634bb02?fccid=c49f8af2010d8cc3&vjs=3
Data Science Senior Consultant with Containerization - Toronto,Capgemini,"Toronto, ON",,Demonstrated ability to collaborate with team to provide data-driven recommendations and solutions to clients by clearly articulating complex technical concepts…,30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=10c83a3dd7818d77&fccid=105ecfd0283f415f&vjs=3
Data Scientist,Mistplay,"Montréal, QC",,"Masters degree in Mathematics, Computer , Artificial Intelligence or   related field is required.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=3307c2623088b5ec&fccid=dd616958bd9ddc12&vjs=3
Data Scientist,A4 Systems Corporation,"Calgary, AB","$78,000 - $120,000 a year","Assess the effectiveness and accuracy of new  sources and  gathering techniques.,Process large amounts of structured and unstructured , including…",28 days ago,Indeed.ca,https://ca.indeed.com/company/A4-Systems/jobs/Data-Scientist-8fc11ebe6b4bfb2e?fccid=6ab3be9937bcbd63&vjs=3
"Manager, Data Analytics (Volunteer)",Pet Cancer Fund,"Vancouver, BC",,"Experience with coding complex SQL logic,  mining (SQL, ETL,  warehouse) and using databases in business.,Know how to use Statistical Packages.",14 days ago,Indeed.ca,https://ca.indeed.com/company/Pet-Cancer-Fund/jobs/Manager-fe95d8aa11221daf?fccid=9cb0f05fa23b2623&vjs=3
Data Analyst,Poros Career,"North York, ON","$48,000 - $55,000 a year","Use  mining, model building, and other analytical techniques to develop new datasets and  driven solutions.,Use python to perform  visualization.",19 days ago,Indeed.ca,https://ca.indeed.com/company/Poros-Career/jobs/Data-Analyst-62eca01c8bb6e402?fccid=b725cade44ec5181&vjs=3
Machine Learning Engineer,Airudi,"Montréal, QC","$75,000 a year","Strong practical experience with Python and relevant   and machine learning libraries, such as Tensorflow, NumPy, etc.",Today,Indeed.ca,https://ca.indeed.com/company/Airudi/jobs/Machine-Learning-Engineer-e5d8c73a15a9f13e?fccid=cba3f64a03ef0514&vjs=3
"Analyst, Data Mining",Charles River Laboratories,"Laval, QC",,"Discover and identify patterns within data.,Keen analytical skills and ability to interpret large amounts of data.,Remain fully informed on market trends.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=65662fa5e706c2e3&fccid=b5f9cabef0362658&vjs=3
Research Intern - Information and Data Sciences,Microsoft,"Montréal, QC",,"Actively conducting research in at least one of the following areas: machine learning, natural language processing, human-computer interaction, artificial…",16 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5a45797f78adf0ee&fccid=734cb5a01ee60f80&vjs=3
Research Intern - AI/Deep Learning,Deeplite Inc,"Montréal, QC",,"As a postdoctoral researcher or Ph.D. student, you will be tasked to advance the  and technology of Deeplite's engine.",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=14b48012d6062359&fccid=187ebc2d25d59123&vjs=3
Data Scientist,Seaspan Ship Management Ltd.,"Vancouver, BC",,"Assist in the creation of scripts to ingest and process raw  into databases and  warehouse.,Maintains  health and integrity across systems.",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=877fae9483d8a538&fccid=f6ffccbee7ac493d&vjs=3
Data Analyst/Senior Data Analyst,StackAdapt,"Toronto, ON",,"Consolidate and analyze  from a variety of sources, make recommendations and present information in an easy and understandable manner.",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=72736bd98b07ece5&fccid=d36d509e880107c8&vjs=3
Data & Analytical Science Instructor,Qcom College of Technology,"Calgary, AB",$20 - $22 an hour,The purpose of the Instructor is to lead and contribute to the academic success of students and to the success of the College in achieving its statement of…,26 days ago,Indeed.ca,https://ca.indeed.com/company/Q-COM-COLLEGE-OF-TECHNOLOGY/jobs/Data-Analytical-Science-Instructor-81a7ce6a43c4ef82?fccid=6789979da25aef92&vjs=3
