job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Data Science Co-op,Hach,"Vancouver, BC",,"Keen to learn about   and technology.,Currently studying  , computer science/engineering, statistics, or a related discipline.",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=bdf5d95be72e8a65&fccid=7211d6a9510d11db&vjs=3
"Specialist, Data Science and Machine Learning Development",Gartner,"Quebec City, QC",,"Knowledge of core computer  concepts such as  structures and algorithms, OOP, code profiling/optimization.",16 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6380e96c4bffaf61&fccid=be293f1def77a963&vjs=3
"Lead Educator, Data Science",Juno College,"Toronto, ON","$85,000 a year","You have strong business acumen and are able to think strategically when growing the  program portfolio.,You have deep expertise in querying and programming…",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=81cd0f5c9965aed4&fccid=703961dd78d05034&vjs=3
Data Science Associate - Montreal,Air Liquide,"Montréal, QC",,"Clean, and analyze the data.,Work with IT and external organizations to obtain online/offline data.,In 2018 we celebrated 10 years of accident-free operations.",8 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=46edf1f299d50849&fccid=0bfc42f123844c30&vjs=3
Data Scientist,Seaspan Ship Management Ltd.,"Vancouver, BC",,"Assist in the creation of scripts to ingest and process raw  into databases and  warehouse.,Maintains  health and integrity across systems.",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=877fae9483d8a538&fccid=f6ffccbee7ac493d&vjs=3
Data Science,Cyber Chasse,Canada,,"Experience working with and creating  architectures.,Experience using statistical computer languages R, Python, SLQ, etc to manipulate  and draw…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5a59f2189f7d47ae&fccid=fb556c90cb9bdb1a&vjs=3
Data Scientist (F/M/X),Acensi SAS,"Bruxelles, MB",,"Assist users to understand the   principles.,The  Scientist will perform hands on   and  analysis work in the domain of Insurance.",4 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c118d2f7459bfd0c&fccid=baab62ae6ea4c8a2&vjs=3
Junior Data Scientist,Visual Defence Inc,"Richmond Hill, ON","$45,000 - $55,000 a year","Programming and support in writing ready   scripts / applications.,1-2 years of experience in  , analysis and visualization.",5 days ago,Indeed.ca,https://ca.indeed.com/company/Visual-Defence-Inc./jobs/Junior-Data-Scientist-6c3f2dc463a7a6e6?fccid=2540fa8edcb88f6a&vjs=3
Data & Analytical Science Instructor,Qcom College of Technology,"Calgary, AB",$20 - $22 an hour,The purpose of the Instructor is to lead and contribute to the academic success of students and to the success of the College in achieving its statement of…,23 days ago,Indeed.ca,https://ca.indeed.com/company/Q-COM-COLLEGE-OF-TECHNOLOGY/jobs/Data-Analytical-Science-Instructor-81a7ce6a43c4ef82?fccid=6789979da25aef92&vjs=3
Data Scientist,thinkCOMPASS,"Vaughan, ON",,"Present information using  visualization techniques.,Undertake preprocessing of structured and unstructured data.,Combine models through ensemble modeling.",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=4f95187291fd2fc7&fccid=dd616958bd9ddc12&vjs=3
