company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
Roboeye,Implement state-of-the-art machine learning and deep learning algorithms for object detection from point cloud. Have solid programming skills in C++ and Python.,https://www.workopolis.com/job/YyvHRGt5Dltb347DHYH5ZJpSMysK4PXb91Z39yrZkP23nK8SYNh5vg?q=machine+learning,"Toronto, ON",N/A,N/A,Research Engineer (Machine Learning and Computer Vision),www.workopolis.com
Paytm,"Own the development, training, and optimizing of machine learning systems. Own the development, training, optimizing, and deployment of machine learning systems…",https://www.workopolis.com/job/Wloo1bJ4wLg1k1xyqofFvTLXNgwQfXBZvYWijc7UdOKaFS0DqIlmdQ?q=machine+learning,"Toronto, ON",N/A,N/A,- Machine Learning Engineer,www.workopolis.com
Bell Canada,"Maintain and optimize infrastructure-as-code to apply machine learning methods in production. Build, automate, and maintain machine learning dependencies and…",https://www.workopolis.com/job/XcvOpSimrolsKjQhdySyFXuI4m5LDI2GKY3aaAkaaAWSfNFbGEBdxA?q=machine+learning,"Toronto, ON",9d,N/A,"Developer, Machine Learning Engineer",www.workopolis.com
ASSURANCE,"As we build the future of consumer insurance in a modern age, data and machine learning are at the core of everything that we do.",https://www.workopolis.com/job/ZfO3hjduIiLyx_aMdLxf42TyJI59JLrU2eAuaEAj7_RD3mAgMU--5A?q=machine+learning,"Toronto, ON",N/A,N/A,Machine Learning Engineer,www.workopolis.com
Pinterest,Apply machine learning approaches to build rich signals that enable ranking and product engineers to build deeper experiences to further engage Pinners.,https://www.workopolis.com/job/fNgyQtFjL_W4rEDub-Btveo6DWILPM_UMMOtQDfaZDej-ykQR3NPPQ?q=machine+learning,"Toronto, ON",N/A,N/A,"Machine Learning Engineer, Content Signals",www.workopolis.com
Primate Labs,"The Machine Learning Developer will work research, design, and develop machine learning benchmark tests to measure the performance of mobile neural network…",https://www.workopolis.com/job/IsLfSmLumy4MBXdnTbxmjUHWZTId9YnZmkwjLp9sR9HwvekUV93rCA?q=machine+learning,"Toronto, ON",N/A,N/A,Machine Learning Software Developer,www.workopolis.com
Pinterest,"As a Machine Learning Engineer at Pinterest, you'll work on tackling new challenges in machine learning and artificial intelligence.",https://www.workopolis.com/job/v4Dy_v1b6hD-PgkcljdB-m8Ug_zPcPau-GOKdy-ZTBJtp616m2ZdfA?q=machine+learning,"Toronto, ON",N/A,N/A,PhD University Grad Machine Learning Engineer,www.workopolis.com
Goldman Sachs,2+ years of experience in systems using machine learning and other artificial intelligence techniques. Join our engineering teams that build massively scalable…,https://www.workopolis.com/job/0ISuDlgnQwUyY6R4D9lfmv5XxGDcHM3qsdXx4fX__g9HWImtJP0UYA?q=machine+learning,"Toronto, ON",N/A,N/A,Machine Learning Engineer - Core Engineering,www.workopolis.com
Boast Capital,"Degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field. 5+ years of experience developing Machine Learning or…",https://www.workopolis.com/job/K8e7mgm2_6761Zqw_8-5eoUKKCt4six4XRKeyAAwmYXAlMggSf6P-A?q=machine+learning,"Toronto, ON",N/A,N/A,Software Engineer – AI/Machine Learning,www.workopolis.com
Aviva,2+ years of experience in building machine learning models for business application. An understanding of Machine Learning fundamentals and create models with…,https://www.workopolis.com/job/uWKcBlGtFpGxZaiNCy6TwEDH1JULUAi994-6xVK6HLxTKNfjV7zW7g?q=machine+learning,"Markham, ON",N/A,N/A,Machine Learning Engineer,www.workopolis.com
TD Bank,Strong knowledge of Machine Learning and Deep Learning. 3+ years experience of building machine learning production system. Carve out a career for yourself.,https://www.workopolis.com/job/Ynip_r0BCeqzbjcDEjNAcVbfB5UOgghut3cjJqEKD2iCoi2fNdADvQ?q=machine+learning,"Toronto, ON",N/A,N/A,Sr Machine Learning Product Engineer (Layer 6),www.workopolis.com
RBC,6+ years of experience framing the business problem into machine learning problem. Lead and engage partners to set up a robust Machine Learning infrastructure…,https://www.workopolis.com/job/RR6w1QEPA9pOTFw7hkcdN6iVH8iWrGTGppSjNO9esZaINldMCezLYw?q=machine+learning,"Toronto, ON",10d,N/A,Director Machine Learning,www.workopolis.com
Google,"Experience in one or more areas of computer science, such as Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning,…",https://www.workopolis.com/job/CFypDfPhIpedC0z5pJ4z0eCj3k9R7gjJmns_6-SvzCQjuJXPp3iBDQ?q=machine+learning,"Toronto, ON",N/A,N/A,"Research Intern, Bachelors, Summer 2021",www.workopolis.com
RBC,"Implement new statistical, machine learning, or other mathematical methodologies to solve specific business problems. What do you need to succeed?",https://www.workopolis.com/job/9n-jVc00nPOSRZaoVPRTGpiepSyil1MMvh01lU6nlb8-_EQfybf95g?q=machine+learning,"Toronto, ON",Today,N/A,Data Analyst - AI,www.workopolis.com
SoundHound Inc.,You are adept at machine learning algorithms. You would work on delivering Machine Learning / Natural Language Processing models with State-Of-The-Art accuracy.,https://www.workopolis.com/job/bWL-tYAijYWgIB7m8-OqqXCQwannBITxefXwHfTw9-mCifSsGtOOjg?q=machine+learning,"Toronto, ON",9d,N/A,"Senior Machine Learning Scientist, Natural Language Processing",www.workopolis.com
Coursera,"Design, implement and deploy end-to-end machine learning / deep learning pipelines and models with cloud services (e.g., AWS Sagemaker).",https://www.workopolis.com/job/L3Vw1tq3VlPo7Nu1dml8EHXgkvX1xp85nokj8xpxKHQTwJYMMBaFFQ?q=machine+learning,"Toronto, ON",N/A,N/A,"Senior Data Scientist, Machine Learning",www.workopolis.com
Oracle,"Provide guidance on statistical, deep learning and machine learning methodological problems across the Oracle CX. Work with large, complex data sets.",https://www.workopolis.com/job/tzJBejfCp6hm2wUl8AeZa2fwjo3jSnqblDtZ_SuI20WNfCr2kRHO2w?q=machine+learning,"Toronto, ON",N/A,N/A,Sr Software Developer - Machine Learning,www.workopolis.com
SoundHound Inc.,You have experience with modern machine learning techniques. Innovate on state-of-the-art deep learning systems for speech recognition. In this role you will:,https://www.workopolis.com/job/wzP1zgYgNnnSGpqwBNzGcotqTt5w74b8FNnAvukTTaHwsaUNmu_TmA?q=machine+learning,"Toronto, ON",9d,N/A,"Machine Learning Intern, Speech Recognition, M.S. / Ph.D., Winter 2020-2021",www.workopolis.com
ThinkData Works,ThinkData helps organisations turn any data into fuel for their business. Whether sourcing new streams of public data or transforming existing internal…,https://www.workopolis.com/job/7EJ21bggUArhUBAqFG7aeaponNq8Zcgmlq1VX3aWrWsEcqRf5wNMnw?q=machine+learning,"Toronto, ON",N/A,N/A,"Senior Software Engineer, Machine Learning",www.workopolis.com
Centre for Addiction and Mental Health,"Promote and maintain Canadian excellence in deep learning and machine learning for mental health. Expertise in machine learning, including but not limited to…",https://www.workopolis.com/job/beg8vgj2QvyJWjAdZyPR89jDebLr6hKjTnmgZtPe-4lWF5e8S3_8dA?q=machine+learning,"Toronto, ON",9d,N/A,Independent Scientist,www.workopolis.com
Achievers,"PhD in Machine Learning, Mathematics, Statistics, Computer Science or in another highly quantitative field. Expertise in machine learning methods including Time…",https://www.workopolis.com/job/ZxDJD7DRfqKXAMaeib07ZS9c2kQSssF0PaWZeSejAQxxNHScwSfksg?q=machine+learning,"Toronto, ON",N/A,N/A,Data Scientist,www.workopolis.com
BenchSci,We are looking for a Machine Learning Engineer to join our growing R&D team. Contribute to key components across the machine learning ecosystem defining…,https://www.workopolis.com/job/Cr9q9Le03K-391iIE-w7OVMPCrlqlaMPVN_IAK4sNkU7CelFCwWGhg?q=machine+learning,"Toronto, ON",N/A,N/A,Machine Learning Engineer,www.workopolis.com
University of Toronto,Introduction to Machine Learning – ECE1513H. Applicants must have experience in the use of artificial intelligence and machine learning in engineering.,https://www.workopolis.com/job/M2-t-8At5ktBR9llfadY5-iwJZWJQIwHso0hOtOIPaoPyHcdqKF4Fg?q=machine+learning,"Toronto, ON",N/A,N/A,[Sessional Lecturer] Introduction to Machine Learning - ECE1513H,www.workopolis.com
