company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
Roboeye,You will Implement state-of-the-art machine learning and deep learning algorithms for object detection from point cloud Implement point cloud and image…,https://www.workopolis.com/jobsearch/viewjob/GbA36lZu6R4GEMRMCZfmR2K2dVGUHiqsOUBJxLLl9Y1Jj1nZbLgPnA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $80,000 - $110,000 a year",Research Engineer (Machine Learning and Computer Vision),www.workopolis.com
Bell Canada,"Req Id: 272626 At Bell, we do more than build world-class networks, develop innovative services and create original multiplatform media content – we’re…",https://www.workopolis.com/jobsearch/viewjob/AmnfYw56gUMS6PkqcACVp_srCorJqZW0FNGTBilaF89VRJw-9O3khA?ak=machine+learning&l=Toronto,"Toronto, ON",9 days ago,"Estimated: $71,000 - $94,000 a year","Developer, Machine Learning Engineer",www.workopolis.com
Paytm,"About Paytm Labs: At Paytm Labs, we’re on a mission to provide useful technological solutions that enrich and empower millions of people in their daily lives.…",https://www.workopolis.com/jobsearch/viewjob/h1ehJQSwtJuo--BzJz6dn-EAqK8IQbaEjfUBIaXwWnFfDhbBP1U-pQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $85,000 - $110,000 a year",- Machine Learning Engineer,www.workopolis.com
ASSURANCE,About Assurance At Assurance we are disrupting the antiquated and inefficient world of insurance and financial services. Our team of world class software…,https://www.workopolis.com/jobsearch/viewjob/ZAhvLfhZW48zk9ue-YlJsrlu-Cs-rfXQlKIKiM84oqT0mK5XwOQJgw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $85,000 - $120,000 a year",Machine Learning Engineer,www.workopolis.com
Goldman Sachs,MORE ABOUT THIS JOB: YOUR IMPACT The financial industry thrives on data driven decision making. You will be joining the team that builds and operates…,https://www.workopolis.com/jobsearch/viewjob/rhkm99EZohAkDbUN-WZgbns9PkPDsjJ96Hriw-hzDs3PCEwjXWNqVA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $76,000 - $110,000 a year",Machine Learning Engineer - Core Engineering,www.workopolis.com
Aviva,"Join an exciting team of actuaries, data scientists and engineers at the forefront of leveraging data to drive decisions at every level of our organization.…",https://www.workopolis.com/jobsearch/viewjob/CypPD_XgxyCTIwtTUXyraQK8qMLIL8zJvi1NQgcAKJh0AZlUukuuIg?ak=machine+learning&l=Toronto,"Markham, ON",,"Estimated: $80,000 - $110,000 a year",Machine Learning Engineer,www.workopolis.com
Pinterest,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new…",https://www.workopolis.com/jobsearch/viewjob/6_inZ0jcptgQUig6p5Qq4Ow8Lg_FDcfzM2aoe4lTEgj-ieCZ21b2vg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $65,000 - $82,000 a year","Machine Learning Engineer, Content Signals",www.workopolis.com
Pinterest,PLEASE ONLY APPLY FOR THIS POSITION ONCE. Location preferences are specified within the application. Multiple applications may delay our recruitment process.…,https://www.workopolis.com/jobsearch/viewjob/FTml7s0S-nUPVY4K3Gu9gcLCR5qxh4iajKYWMTLv0Fp6wigv-Yj_bA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $66,000 - $87,000 a year",PhD University Grad Machine Learning Engineer,www.workopolis.com
Primate Labs,"Primate Labs, a small (but mighty!) software company located in Toronto, is looking for enthusiastic developers to join our team and help us build a new…",https://www.workopolis.com/jobsearch/viewjob/1lplwo23z4DoVeJ3gtJ1Tg3LriaHYSA4WIAmsoEIOSftTYWbENDKdA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $60,000 - $87,000 a year",Machine Learning Software Developer,www.workopolis.com
TD Bank,"Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are…",https://www.workopolis.com/jobsearch/viewjob/-othLWY66qlDAIcTa-DfOgQ6ho0nFL_ZQRWT6BfcAEg3bzeZ8UjhkA?ak=machine+learning&l=Toronto,"Toronto, ON",,,Sr Machine Learning Product Engineer (Layer 6),www.workopolis.com
RBC,"What is the opportunity? The role is to support the success of Next Best Offer strategy which is about personalization of the offer, by designing and…",https://www.workopolis.com/jobsearch/viewjob/opW-1S_LIljDxUuEHMgFq0ZkjjPSTj59vwe7mlEvvu27ChCeR52Axw?ak=machine+learning&l=Toronto,"Toronto, ON",10 days ago,"Estimated: $88,000 - $130,000 a year",Director Machine Learning,www.workopolis.com
Boast Capital,"Each year the US and Canadian governments give out billions of dollars in R&D tax credits through a very manual and broken process. At Boast.AI, we are…",https://www.workopolis.com/jobsearch/viewjob/hPGMTYgHWnuNjvk4xtWRvoD7CMfV2TCU2tMmBYYGVuAoPZHoFq9o-w?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $89,000 - $120,000 a year",Software Engineer – AI/Machine Learning,www.workopolis.com
RBC,What is the opportunity? The IT Portfolio and Data Enablement team within Enterprise Architecture is undertaking complex enterprise-wide initiatives in an…,https://www.workopolis.com/jobsearch/viewjob/5WvuKS8RHDHbPOUOgcp7UDpTmpdQAkt4z9PDhAUoAuoIV2GZ2Au8Jw?ak=machine+learning&l=Toronto,"Toronto, ON",Today,"Estimated: $82,000 - $110,000 a year",Data Analyst - AI,www.workopolis.com
ThinkData Works,About ThinkData ThinkData helps organisations turn any data into fuel for their business. Whether sourcing new streams of public data or transforming…,https://www.workopolis.com/jobsearch/viewjob/_xFdfa95G8w3GC5eNIAWdqajZJhaIn8RkzzQyxDZgWAsErHBeKGf0w?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $96,000 - $120,000 a year","Senior Software Engineer, Machine Learning",www.workopolis.com
Oracle,"Sr Software Developer - Machine Learning-20000QWG Applicants are required to read, write, and speak the following languages: English Preferred…",https://www.workopolis.com/jobsearch/viewjob/jZWHChDY1Qfoo2igHQhgTayEQus8gYt1hfDM_b80wzaNxS-UYg6kFA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $87,000 - $120,000 a year",Sr Software Developer - Machine Learning,www.workopolis.com
SoundHound Inc.,You would join a team working on cutting edge Voice AI Research. You would work on delivering Machine Learning / Natural Language Processing models with State…,https://www.workopolis.com/jobsearch/viewjob/20Z8s0VZxHsAIUnoayMRWT_nj78rDU6ntyHvZnB90WQLedLq5Zjf9w?ak=machine+learning&l=Toronto,"Toronto, ON",9 days ago,"Estimated: $80,000 - $110,000 a year","Senior Machine Learning Scientist, Natural Language Processing",www.workopolis.com
Coursera,"Coursera is a leading online learning platform for higher education, where 71 million learners from around the world come to learn skills of the future. More…",https://www.workopolis.com/jobsearch/viewjob/4ooHfAqzvAJxUrcnSBallu5r8Q71BwfSyUEp6xbqR-0pAVJFRHhueQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $84,000 - $110,000 a year","Senior Data Scientist, Machine Learning",www.workopolis.com
Google,Participation in the internship program requires that you are located in Canada for the duration of the internship program This internship is intended for…,https://www.workopolis.com/jobsearch/viewjob/59vI02P3N8O4VtGHMKgo47W7pVcP_CR5REarcGOEp_nUeENaSnbAEg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $75,000 - $96,000 a year","Research Intern, Bachelors, Summer 2021",www.workopolis.com
Geotab,Who we are: Geotab is a global leader in IoT and connected transportation and certified “Great Place to Work.” We are a company of diverse and talented…,https://www.workopolis.com/jobsearch/viewjob/uw99TLCUfRsSt8mpWHOJ9Q7e_9qwerPDjaDIb-KmkcV5D3Unvoxcaw?ak=machine+learning&l=Toronto,"Oakville, ON",9 days ago,"Estimated: $56,000 - $78,000 a year",Learning Content Writer,www.workopolis.com
Centre for Addiction and Mental Health,"Job Number: 852940 Category: Research Positions Available: 1 Years Experience Required: 2 Location: Toronto, Ontario Posted Date: Nov 19, 2020…",https://www.workopolis.com/jobsearch/viewjob/hNeRXNFCh8EJNwJEaD3q9c38WwrnBLWxMgiQNlwqNQHUuGfRCKYURw?ak=machine+learning&l=Toronto,"Toronto, ON",8 days ago,"Estimated: $73,000 - $99,000 a year",Independent Scientist,www.workopolis.com
